,Symbol,Price,PrevDayClose,ChangeInPercentage
286,NSE:SESHAPAPER,184.45,185.75,-0.7
287,NSE:RCF,83.9,82.9,1.21
288,NSE:TAINWALCHM,77.95,78.25,-0.38
289,NSE:EUROTEXIND,13.55,12.95,4.63
290,NSE:MADHAV,61.65,61.1,0.9
291,NSE:ANTGRAPHIC,0.75,0.75,0.0
292,NSE:SUTLEJTEX,68.75,68.2,0.81
293,NSE:ANKITMETAL,3.0,2.9,3.45
294,NSE:BALMLAWRIE,131.5,130.6,0.69
295,NSE:CHOLAFIN,603.25,594.0,1.56
296,NSE:VETO,117.9,117.65,0.21
297,NSE:PGHH,13856.7,13789.3,0.49
298,NSE:SDBL,47.1,46.55,1.18
299,NSE:OISL,1.85,1.9,-2.63
300,NSE:DEEPAKFERT,449.45,421.0,6.76
301,NSE:ANSALHSG,6.55,6.4,2.34
302,NSE:SURANAT&P,10.55,10.15,3.94
303,NSE:ANDHRSUGAR,667.95,667.85,0.01
304,NSE:CARERATING,702.75,680.1,3.33
305,NSE:BLKASHYAP,29.4,29.7,-1.01
306,NSE:COX&KINGS,1.6,1.65,-3.03
307,NSE:TGBHOTELS,12.05,11.6,3.88
308,NSE:WELINV,321.7,331.2,-2.87
309,NSE:APTECHT,306.5,305.6,0.29
310,NSE:APOLSINHOT,868.65,884.55,-1.8
311,NSE:APLAPOLLO,841.25,850.65,-1.11
312,NSE:APARINDS,707.0,696.2,1.55
313,NSE:APOLLOTYRE,241.45,239.8,0.69
314,NSE:APCOTEXIND,421.55,419.3,0.54
315,NSE:APOLLOHOSP,4387.8,4328.4,1.37
316,NSE:BUTTERFLY,996.0,993.85,0.22
317,NSE:GUJAPOLLO,213.0,212.95,0.02
318,NSE:ARSHIYA,35.45,38.25,-7.32
319,NSE:ARSSINFRA,30.8,30.45,1.15
320,NSE:ARIHANT,26.1,26.2,-0.38
321,NSE:ARCHIES,18.5,18.6,-0.54
322,NSE:ARCHIDPLY,32.95,32.95,0.0
323,NSE:AROGRANITE,63.8,63.7,0.16
324,NSE:INTELLECT,714.9,706.3,1.22
325,NSE:ARCOTECH,2.2,2.2,0.0
326,NSE:ARVIND,122.05,120.4,1.37
327,NSE:MUKTAARTS,40.45,40.6,-0.37
328,NSE:GILLANDERS,56.45,58.1,-2.84
329,NSE:ASIANPAINT,3253.75,3297.8,-1.34
330,NSE:ASTEC,1295.5,1284.7,0.84
331,NSE:ASAL,90.05,85.8,4.95
332,NSE:EIHAHOTELS,424.0,425.05,-0.25
333,NSE:ASIANHOTNR,90.25,89.45,0.89
334,NSE:ASHAPURMIN,122.7,124.15,-1.17
335,NSE:ASTRAMICRO,209.95,206.6,1.62
336,NSE:ASTRAZEN,3125.55,3150.95,-0.81
337,NSE:ASTRAL,2349.75,2338.3,0.49
338,NSE:JPASSOCIAT,10.1,9.8,3.06
339,NSE:INFRABEES,552.83,547.1,1.05
340,NSE:ASAHISONG,351.0,349.3,0.49
341,NSE:ASHIANA,186.4,189.65,-1.71
342,NSE:ASHIMASYN,19.6,19.55,0.26
343,NSE:ASIANTILES,151.5,149.95,1.03
344,NSE:ASAHIINDIA,387.05,370.75,4.4
345,NSE:ASHOKA,120.3,116.95,2.86
346,NSE:ATUL,10734.45,10499.55,2.24
347,NSE:ATLASCYCLE,28.85,30.35,-4.94
348,NSE:ATNINTER,0.2,0.2,0.0
349,NSE:ATULAUTO,241.4,237.45,1.66
350,NSE:ATLANTA,13.6,13.35,1.87
351,NSE:BAJAJ-AUTO,3928.05,3965.9,-0.95
352,NSE:MUNJALAU,61.25,60.5,1.24
353,NSE:AUTOLITIND,15.5,14.95,3.68
354,NSE:PPAP,261.95,261.2,0.29
355,NSE:LUMAXTECH,143.7,144.6,-0.62
356,NSE:INDIGO,2064.0,2073.2,-0.44
357,NSE:AVTNPL,90.15,89.85,0.33
358,NSE:AVANTIFEED,569.35,570.2,-0.15
359,NSE:AXISBANK,805.5,802.05,0.43
360,NSE:AXISCADES,91.95,90.75,1.32
361,NSE:AXISGOLD,41.04,41.45,-0.99
362,NSE:AUTOAXLES,1375.0,1349.9,1.86
363,NSE:AYMSYNTEX,110.6,108.65,1.79
364,NSE:ICICIBANK,743.55,727.3,2.23
365,NSE:CANBK,197.0,193.55,1.78
366,NSE:BALLARPUR,1.25,1.2,4.17
367,NSE:INDIANB,172.9,164.5,5.11
368,NSE:HDFCBANK,1685.35,1687.4,-0.12
369,NSE:BASF,3712.0,3587.75,3.46
370,NSE:BAGFILMS,3.15,3.2,-1.56
371,NSE:BANKBEES,400.68,395.99,1.18
372,NSE:PSUBNKBEES,30.56,29.59,3.28
373,NSE:BAJFINANCE,7881.3,7862.9,0.23
374,NSE:BBL,1379.0,1361.9,1.26
375,NSE:BBTC,1148.05,1153.6,-0.48
376,NSE:BEML,1672.5,1659.7,0.77
377,NSE:BEDMUTHA,54.0,51.45,4.96
378,NSE:BERGEPAINT,837.45,838.45,-0.12
379,NSE:NRBBEARING,146.55,145.55,0.69
380,NSE:NIBL,28.5,31.65,-9.95
381,NSE:MENONBE,83.0,81.1,2.34
382,NSE:BEL,219.2,210.55,4.11
383,NSE:NIFTYBEES,198.95,197.11,0.93
384,NSE:LIQUIDBEES,1000.0,1000.0,0.0
385,NSE:SHARIABEES,456.52,452.63,0.86
386,NSE:GOLDBEES,41.08,41.52,-1.06
387,NSE:BANARBEADS,79.5,80.2,-0.87
388,NSE:HNGSNGBEES,325.5,322.63,0.89
389,NSE:BFUTILITIE,466.0,467.9,-0.41
390,NSE:BFINVEST,379.15,376.35,0.74
391,NSE:BGRENERGY,73.45,69.4,5.84
392,NSE:BGLOBAL,2.7,2.6,3.85
393,NSE:BHEL,75.05,74.35,0.94
394,NSE:BHARATFORG,805.0,801.0,0.5
395,NSE:BHARATGEAR,178.0,177.05,0.54
396,NSE:JAYBARMARU,217.45,221.2,-1.7
397,NSE:BHAGERIA,297.9,293.5,1.5
398,NSE:BHARATRAS,12116.4,12237.35,-0.99
399,NSE:BEPL,201.95,201.15,0.4
400,NSE:BHARATWIRE,65.2,64.25,1.48
401,NSE:BIL,225.3,224.7,0.27
402,NSE:NBVENTURES,128.35,124.0,3.51
403,NSE:BIOCON,342.75,347.65,-1.41
404,NSE:BSLNIFTY,204.65,202.97,0.83
405,NSE:NATHBIOGEN,324.75,324.1,0.2
406,NSE:BINDALAGRO,24.4,24.15,1.04
407,NSE:BILENERGY,0.6,0.65,-7.69
408,NSE:BSLGOLDETF,4321.1,4361.15,-0.92
409,NSE:PANACEABIO,268.8,270.7,-0.7
410,NSE:GUFICBIO,194.0,194.3,-0.15
411,NSE:BIRLACORPN,1421.2,1426.7,-0.39
412,NSE:HESTERBIO,2554.95,2520.45,1.37
413,NSE:BLBLIMITED,12.35,12.95,-4.63
414,NSE:PHILIPCARB,250.65,249.95,0.28
415,NSE:BLUEDART,6500.0,6508.6,-0.13
416,NSE:BLUECOAST,5.9,5.9,0.0
417,NSE:BLISSGVS,111.55,111.4,0.13
418,NSE:BLUECHIP,0.45,0.4,12.5
419,NSE:BLUESTARCO,924.6,914.85,1.07
420,NSE:BODALCHEM,140.3,141.65,-0.95
421,NSE:BOMDYEING,102.2,102.9,-0.68
422,NSE:GENUSPAPER,13.0,12.4,4.84
423,NSE:CEBBCO,34.3,33.65,1.93
424,NSE:BRFL,7.3,7.2,1.39
425,NSE:BPL,137.15,144.35,-4.99
426,NSE:DBSTOCKBRO,18.0,17.95,0.28
427,NSE:UBL,1699.4,1709.35,-0.58
428,NSE:SUNDRMBRAK,415.0,417.2,-0.53
429,NSE:KIRLOSBROS,399.85,403.15,-0.82
430,NSE:BROOKS,133.1,130.8,1.76
431,NSE:RBL,913.9,880.9,3.75
432,NSE:NOIDATOLL,7.15,7.5,-4.67
433,NSE:BSL,81.25,84.8,-4.19
434,NSE:BURNPUR,4.0,3.85,3.9
435,NSE:BYKE,36.15,36.25,-0.28
436,NSE:GOACARBON,398.7,389.1,2.47
437,NSE:ELECTCAST,37.1,36.55,1.5
438,NSE:CASTROLIND,148.15,146.75,0.95
439,NSE:CANDC,3.3,3.2,3.12
440,NSE:CADILAHC,535.8,544.1,-1.53
441,NSE:CCCL,0.5,0.5,0.0
442,NSE:CCHHL,7.4,7.3,1.37
443,NSE:CCL,411.35,411.05,0.07
444,NSE:IDEA,10.65,10.75,-0.93
445,NSE:ITDCEM,95.9,92.25,3.96
446,NSE:CESC,95.05,93.75,1.39
447,NSE:CERA,6198.95,5606.6,10.57
448,NSE:CEATLTD,1364.0,1355.95,0.59
449,NSE:RAMCOCEM,1004.35,994.4,1.0
450,NSE:CENTEXT,9.3,9.2,1.09
451,NSE:ULTRACEMCO,7459.25,7395.5,0.86
452,NSE:KOVAI,1671.6,1648.8,1.38
453,NSE:MANGLMCEM,445.05,445.55,-0.11
454,NSE:CEREBRAINT,54.3,54.6,-0.55
455,NSE:SOMANYCERA,839.95,834.3,0.68
456,NSE:SHREECEM,28170.0,27956.45,0.76
457,NSE:KAKATCEM,256.05,254.6,0.57
458,NSE:GSCLCEMENT,52.1,51.4,1.36
459,NSE:CENTURYPLY,557.15,528.9,5.34
460,NSE:ORIENTCEM,163.15,162.25,0.55
461,NSE:MURUDCERA,27.9,27.65,0.9
462,NSE:CENTRALBK,23.5,23.2,1.29
463,NSE:REGENCERAM,1.85,1.85,0.0
464,NSE:SHYAMCENT,14.4,14.3,0.7
465,NSE:CENTURYTEX,953.3,962.65,-0.97
466,NSE:JKLAKSHMI,625.0,631.25,-0.99
467,NSE:CELEBRITY,10.55,11.1,-4.95
468,NSE:DECCANCE,783.5,769.45,1.83
469,NSE:CENTUM,562.95,541.5,3.96
470,NSE:CENTENKA,462.7,459.2,0.76
471,NSE:INDIACEM,223.5,214.4,4.24
472,NSE:KAJARIACER,1310.95,1303.7,0.56
473,NSE:CGCL,516.5,519.65,-0.61
474,NSE:SUDARSCHEM,666.75,664.0,0.41
475,NSE:CLNINDIA,604.1,602.25,0.31
476,NSE:CHROMATIC,0.9,0.95,-5.26
477,NSE:RAJSREESUG,27.55,27.7,-0.54
478,NSE:TIRUMALCHM,280.35,289.65,-3.21
479,NSE:CIPLA,905.0,911.35,-0.7
480,NSE:CIGNITITEC,612.85,615.0,-0.35
481,NSE:CINEVISTA,15.9,15.15,4.95
482,NSE:MAHINDCIE,270.15,250.55,7.82
483,NSE:OPTOCIRCUI,3.3,3.25,1.54
484,NSE:CINELINE,129.95,123.8,4.97
485,NSE:SHRIRAMCIT,2231.5,2188.75,1.95
486,NSE:INDIANCARD,179.9,177.65,1.27
487,NSE:KKCL,1040.0,1024.05,1.56
488,NSE:CPSEETF,32.71,32.06,2.03
489,NSE:GANESHHOUC,224.0,223.1,0.4
490,NSE:CREATIVEYE,3.85,3.85,0.0
491,NSE:CRISIL,3042.65,2978.9,2.14
492,NSE:SHARDACROP,320.25,318.95,0.41
493,NSE:SATIN,77.7,77.4,0.39
494,NSE:PUNJABCHEM,1554.0,1531.8,1.45
495,NSE:CREST,123.3,123.15,0.12
496,NSE:BAYERCROP,5248.15,5244.6,0.07
