Symbol,Company Name,Price,PrevDayClose,ChangeInPercentage,volumn
NSE:CROMPTON,Crompton Greaves Consumer Electricals Limited,472.75,474.6,-0.39,749038
NSE:M&MFIN,Mahindra & Mahindra Financial Services Limited,186.7,185.2,0.81,2115162
NSE:NHPC,NHPC Limited,36.4,30.9,17.8,59953449
NSE:GLAXO,GlaxoSmithKline Pharmaceuticals Limited,1475,1481.7,-0.45,30328
NSE:IPCALAB,IPCA Laboratories Limited,2433.25,2422.2,0.46,148929
NSE:L&TFH,L&T Finance Holdings Limited,94.05,94.35,-0.32,10223987
NSE:RAMCOCEM,The Ramco Cements Limited,1022.75,994.4,2.85,310588
NSE:INDIAMART,Indiamart Intermesh Limited,9280,9428.9,-1.58,144966
NSE:TIINDIA,Tube Investments of India Limited,1384.65,1362.95,1.59,33503
NSE:AARTIIND,Aarti Industries Limited,1157.05,1107.45,4.48,1435014
NSE:COROMANDEL,Coromandel International Limited,855.7,863.2,-0.87,209059
NSE:DEEPAKNTR,Deepak Nitrite Limited,2860.85,2897.8,-1.28,692480
NSE:LALPATHLAB,Dr. Lal Path Labs Ltd.,3611.75,3683.3,-1.94,136513
NSE:JKCEMENT,JK Cement Limited,3445,3456,-0.32,64438
NSE:BANKINDIA,Bank of India,61.95,59.85,3.51,18321053
NSE:UNIONBANK,Union Bank of India,47.6,44.8,6.25,41823629
NSE:RELAXO,Relaxo Footwears Limited,1358.9,1352.1,0.5,200365
NSE:SYNGENE,Syngene International Limited,614.55,612.75,0.29,236074
NSE:LICHSGFIN,LIC Housing Finance Limited,453,443.3,2.19,4851180
NSE:EMAMILTD,Emami Limited,549.15,550.25,-0.2,881785
NSE:DIXON,Dixon Technologies (India) Limited,5746.2,5511.3,4.26,603277
NSE:ATUL,Atul Limited,10660,10499.55,1.53,13398
NSE:OBEROIRLTY,Oberoi Realty Limited,971.7,956.35,1.61,919029
NSE:NAM-INDIA,Nippon Life India Asset Management Limited,457.9,449.1,1.96,1132495
NSE:PFIZER,Pfizer Limited,5513.45,5537.6,-0.44,19596
NSE:POLYCAB,Polycab India Limited,2494.25,2563.15,-2.69,771974
NSE:ENDURANCE,Endurance Technologies Limited,1824.5,1839.4,-0.81,92747
NSE:TORNTPOWER,Torrent Power Limited,523.05,515.4,1.48,953634
NSE:MAXHEALTH,Max Healthcare Institute Limited,344.45,350.45,-1.71,958956
NSE:ZEEL,Zee Entertainment Enterprises Limited,311.7,319.85,-2.55,16038343
NSE:LAURUSLABS,Laurus Labs Limited,658.35,651,1.13,3180575
NSE:AIAENG,AIA Engineering Limited,1916.45,1887.2,1.55,61101
NSE:GILLETTE,Gillette India Limited,5830,5832.85,-0.05,4936
NSE:TATACHEM,Tata Chemicals Limited,1101.6,1084.05,1.62,6085042
NSE:AAVAS,Aavas Financiers Limited,2913.85,2868.45,1.58,43178
NSE:RUCHI,Ruchi Soya Industries Limited,1028.55,1041.85,-1.28,35049
NSE:APLLTD,Alembic Pharmaceuticals Limited,809.8,806.6,0.4,216516
NSE:SUNTV,Sun TV Network Limited,550.5,554.45,-0.71,2171813
NSE:GODREJIND,Godrej Industries Limited,578.7,569.35,1.64,100707
NSE:SANOFI,Sanofi India Limited,8247.95,8161.65,1.06,10497
NSE:BATAINDIA,Bata India Limited,2137.95,2118.15,0.93,549398
NSE:COFORGE,Coforge Limited,5618.65,5604.1,0.26,231967
NSE:APLAPOLLO,APL Apollo Tubes Limited,861.55,850.65,1.28,611508
NSE:ESCORTS,Escorts Limited,1555,1520.95,2.24,1103114
NSE:ABFRL,Aditya Birla Fashion and Retail Limited,269.35,264.25,1.93,3813983
NSE:SCHAEFFLER,Schaeffler India Limited,7934.8,7795.15,1.79,18881
NSE:BHEL,Bharat Heavy Electricals Limited,75.4,74.35,1.41,52140530
NSE:SUNDRMFAST,Sundram Fasteners Limited,937,939.75,-0.29,43332
NSE:TATAELXSI,Tata Elxsi Limited,6291.95,6259.95,0.51,150392
NSE:THERMAX,Thermax Limited,1392.55,1387.7,0.35,16539
NSE:HATSUN,Hatsun Agro Product Limited,1481.9,1457.65,1.66,84002
NSE:EXIDEIND,Exide Industries Limited,187,186,0.54,2866725
NSE:AJANTPHARM,Ajanta Pharma Limited,2191.75,2215.45,-1.07,43621
NSE:GSPL,Gujarat State Petronet Limited,328.05,318.25,3.08,659078
NSE:LINDEINDIA,Linde India Limited,2588.8,2608.4,-0.75,34818
NSE:FEDERALBNK,The Federal Bank Limited,95,93.1,2.04,24232388
NSE:NATCOPHARM,Natco Pharma Limited,892.25,889.85,0.27,141606
NSE:FORTIS,Fortis Healthcare Limited,265.55,274.45,-3.24,1864621
NSE:KAJARIACER,Kajaria Ceramics Limited,1327,1303.7,1.79,219976
NSE:MINDAIND,Minda Industries Limited,774.85,793.45,-2.34,128658
NSE:PERSISTENT,Persistent Systems Limited,4191.9,4212,-0.48,189881
NSE:GMRINFRA,GMR Infrastructure Limited,43.05,43.4,-0.81,15007699
NSE:AMARAJABAT,Amara Raja Batteries Limited,728.75,760.15,-4.13,2342656
NSE:SUMICHEM,Sumitomo Chemical India Limited,412.65,418.7,-1.44,374587
NSE:JSWENERGY,JSW Energy Limited,392,394,-0.51,1146132
NSE:VINATIORGA,Vinati Organics Limited,2067,2077.75,-0.52,44156
NSE:APOLLOTYRE,Apollo Tyres Limited,245.55,239.8,2.4,7366137
NSE:RAJESHEXPO,Rajesh Exports Limited,635.7,646.6,-1.69,214793
NSE:AFFLE,Affle (India) Limited,1156.55,1176.6,-1.7,289701
NSE:MAHABANK,Bank of Maharashtra,21.85,21.1,3.55,10646632
NSE:NAVINFLUOR,Navin Fluorine International Limited,3901.5,3934.25,-0.83,153569
NSE:PHOENIXLTD,The Phoenix Mills Limited,980,977.65,0.24,89419
NSE:CRISIL,CRISIL Limited,2987.5,2978.9,0.29,28298
NSE:OIL,Oil India Limited,238,235.2,1.19,1170608
NSE:BLUEDART,Blue Dart Express Limited,6501.6,6508.6,-0.11,7579
NSE:INDHOTEL,The Indian Hotels Company Limited,231.75,229.55,0.96,8436651
NSE:GLENMARK,Glenmark Pharmaceuticals Limited,521.05,524.8,-0.71,949252
NSE:INDIANB,Indian Bank,171.15,164.5,4.04,8201105
NSE:SUVENPHAR,Suven Pharmaceuticals Limited,529.65,539.45,-1.82,157461
NSE:MANAPPURAM,Manappuram Finance Limited,197.35,195.3,1.05,3104428
NSE:ZYDUSWELL,Zydus Wellness Limited,2304.05,2314.15,-0.44,57834
NSE:VAIBHAVGBL,Vaibhav Global Limited,725.55,714.35,1.57,112884
NSE:WABCOINDIA,WABCO India Limited,7890.95,7486.85,5.4,45769
NSE:RBLBANK,RBL Bank Limited,197.95,191.65,3.29,13507551
NSE:CASTROLIND,Castrol India Limited,145.2,146.75,-1.06,1410844
NSE:ISEC,ICICI Securities Limited,853.6,878.5,-2.83,531906
NSE:PRESTIGE,Prestige Estates Projects Limited,456.15,453.55,0.57,534458
NSE:ALKYLAMINE,Alkyl Amines Chemicals Limited,3996.75,3974.45,0.56,40537
NSE:SOLARINDS,Solar Industries India Limited,2693.1,2532.45,6.34,118527
