,Symbol,Price,Company name
757,NSE:MENONBE,84.0,Menon Bearings Limited
759,NSE:BEL,218.4,Bharat Electronics Limited
760,NSE:NIFTYBEES,198.88,Goldman Sachs Nifty BeES ETF
761,NSE:LIQUIDBEES,1000.01,Goldman Sachs Liquid BeES ETF
762,NSE:SHARIABEES,456.74,Goldman Sachs Shariah BeES ETF
763,NSE:GOLDBEES,41.03,Goldman Sachs Gold BeES ETF
764,NSE:BANARBEADS,79.15,Banaras Beads Limited
766,NSE:HNGSNGBEES,324.0,Goldman Sachs Hang Seng BeES ETF
767,NSE:BFUTILITIE,465.75,BF Utilities Limited
768,NSE:BFINVEST,378.1,BF Investment Limited
771,NSE:BGRENERGY,73.35,BGR Energy Systems Limited
775,NSE:BGLOBAL,2.7,Bharatiya Global Infomedia Limited
777,NSE:BHEL,74.4,Bharat Heavy Electricals Limited
781,NSE:BHARATFORG,805.1,Bharat Forge Limited
785,NSE:BHARATGEAR,178.55,Bharat Gears Limited
786,NSE:JAYBARMARU,217.1,Jay Bharat Maruti Limited
787,NSE:BHAGERIA,299.0,BHAGERIA INDUSTRIE INR5
789,NSE:BHARATRAS,12150.0,Bharat Rasayan Limited
790,NSE:BEPL,201.7,Bhansali Engineering Polymers Limited
791,NSE:BHARATWIRE,65.4,Bharat Wire Ropes Limited
792,NSE:BIL,225.35,Bhartiya International Limited
793,NSE:NBVENTURES,126.55,Nava Bharat Ventures Limited
797,NSE:BIOCON,342.25,Biocon Limited
803,NSE:BSLNIFTY,209.0,Birla Sun Life Nifty ETF
805,NSE:NATHBIOGEN,325.35,Nath Bio-Genes (India) Limited
807,NSE:BINDALAGRO,24.05,Oswal Greentech Limited
808,NSE:BILENERGY,0.6,Bil Energy Systems Limited
812,NSE:BSLGOLDETF,4320.0,Birla Sun Life Gold ETF
820,NSE:PANACEABIO,270.25,Panacea Biotec Limited
830,NSE:GUFICBIO,194.85,Gufic Biosciences Limited
831,NSE:BIRLACORPN,1415.85,Birla Corporation Limited
832,NSE:HESTERBIO,2546.8,Hester Biosciences Limited
836,NSE:BLBLIMITED,12.35,BLB Limited
837,NSE:PHILIPCARB,249.55,Phillips Carbon Black Limited
838,NSE:BLUEDART,6483.5,Blue Dart Express Limited
839,NSE:BLUECOAST,5.9,Blue Coast Hotels Limited
841,NSE:BLISSGVS,111.55,Bliss Gvs Pharma Limited
843,NSE:BLUECHIP,0.45,Blue Chip India Limited
849,NSE:BLUESTARCO,915.95,Blue Star Limited
856,NSE:BODALCHEM,141.0,Bodal Chemicals Limited
860,NSE:BOMDYEING,102.6,The Bombay Dyeing and Manufacturing Company Limited
862,NSE:GENUSPAPER,13.0,Genus Paper & Boards Limited
863,NSE:CEBBCO,34.25,Commercial Engineers & Body Builders Co Limited
865,NSE:BRFL,7.3,Bombay Rayon Fashions Limited
867,NSE:BPL,137.15,BPL Limited
869,NSE:DBSTOCKBRO,18.1,DB (International) Stock Brokers Ltd
870,NSE:UBL,1702.0,United Breweries Limited
871,NSE:SUNDRMBRAK,417.2,Sundaram Brake Linings Limited
873,NSE:KIRLOSBROS,400.0,Kirloskar Brothers Limited
875,NSE:BROOKS,131.45,Brooks Laboratories Limited
876,NSE:RBL,915.0,Rane Brake Lining Limited
878,NSE:NOIDATOLL,7.15,Noida Toll Bridge Company Limited
884,NSE:BSL,82.5,BSL Limited
885,NSE:BURNPUR,4.0,Burnpur Cement Limited
890,NSE:BYKE,36.15,THE BYKE HOSPITALI INR10
893,NSE:GOACARBON,393.8,Goa Carbon Limited
894,NSE:ELECTCAST,37.0,Electrosteel Castings Limited
895,NSE:CASTROLIND,148.4,Castrol India Limited
896,NSE:CANDC,3.3,C & C Constructions Limited
897,NSE:CADILAHC,536.1,Cadila Healthcare Limited
902,NSE:CCCL,0.45,Consolidated Construction Consortium Limited
903,NSE:CCHHL,7.35,Country Club Hospitality & Holidays Limited
905,NSE:CCL,412.45,CCL Products (India) Limited
906,NSE:IDEA,10.65,Idea Cellular Limited
908,NSE:ITDCEM,94.55,ITD Cementation India Limited
910,NSE:CESC,94.5,CESC Limited
911,NSE:CERA,6266.05,Cera Sanitaryware Limited
912,NSE:CEATLTD,1368.55,CEAT Limited
914,NSE:RAMCOCEM,1007.75,The Ramco Cements Limited
917,NSE:CENTEXT,9.35,Century Extrusions Limited
920,NSE:ULTRACEMCO,7455.1,UltraTech Cement Limited
922,NSE:KOVAI,1683.15,Kovai Medical Center & Hospital Ltd.
