Symbol,Price,PrevDayClose,ChangeInPercentage
NSE:SHAHALLOYS,33.9,35,-3.14
NSE:ALKALI,94,98.9,-4.95
NSE:ALANKIT,17.7,17.45,1.43
NSE:ALEMBICLTD,113.75,113.4,0.31
NSE:NATIONALUM,119.35,107.6,10.92
NSE:ALLCARGO,282.1,288.25,-2.13
NSE:MAITHANALL,1125.55,1105,1.86
NSE:GAL,2.4,2.35,2.13
NSE:ALPA,53.95,54.7,-1.37
NSE:MANAKALUCO,20.7,19.9,4.02
NSE:MAANALU,143,136.2,4.99
NSE:ALCHEM,3.15,3.3,-4.55
NSE:ALPSINDUS,3.75,3.9,-3.85
NSE:ALKYLAMINE,4032.65,3974.45,1.46
NSE:ALPHAGEO,438.95,432,1.61
NSE:GAEL,179.45,177.45,1.13
NSE:BANARISUG,2380,2381.85,-0.08
NSE:AMBIKCO,1984.55,1980,0.23
NSE:BASML,61.5,62.1,-0.97
NSE:AMBUJACEM,411.7,408.75,0.72
NSE:AMDIND,33.85,30.8,9.9
NSE:AMRUTANJAN,957.7,907.65,5.51
NSE:BALAMINES,4505,4464.7,0.9
NSE:AMARAJABAT,749.8,760.15,-1.36
NSE:MRPL,52.25,52,0.48
NSE:LOTUSEYE,43.75,44.6,-1.91
NSE:IOLCP,611.05,608.55,0.41
NSE:ANSALAPI,10.75,10.55,1.9
NSE:ANIKINDS,22.3,21.95,1.59
NSE:ANANTRAJ,73.7,73.2,0.68
NSE:DALMIASUG,455.8,454.15,0.36
NSE:ANDHRACEMT,16.4,15.65,4.79
NSE:SESHAPAPER,184.45,185.75,-0.7
NSE:RCF,83.9,82.9,1.21
NSE:TAINWALCHM,77.95,78.25,-0.38
NSE:EUROTEXIND,13.55,12.95,4.63
NSE:MADHAV,61.65,61.1,0.9
NSE:ANTGRAPHIC,0.75,0.75,0
NSE:SUTLEJTEX,68.75,68.2,0.81
NSE:ANKITMETAL,3,2.9,3.45
NSE:BALMLAWRIE,131.5,130.6,0.69
NSE:CHOLAFIN,603.25,594,1.56
NSE:VETO,117.9,117.65,0.21
NSE:PGHH,13856.7,13789.3,0.49
NSE:SDBL,47.1,46.55,1.18
NSE:OISL,1.85,1.9,-2.63
NSE:DEEPAKFERT,449.45,421,6.76
NSE:ANSALHSG,6.55,6.4,2.34
NSE:SURANAT&P,10.55,10.15,3.94
NSE:ANDHRSUGAR,667.95,667.85,0.01
NSE:CARERATING,702.75,680.1,3.33
NSE:BLKASHYAP,29.4,29.7,-1.01
NSE:COX&KINGS,1.6,1.65,-3.03
NSE:TGBHOTELS,12.05,11.6,3.88
NSE:WELINV,321.7,331.2,-2.87
NSE:APTECHT,306.5,305.6,0.29
NSE:APOLSINHOT,868.65,884.55,-1.8
NSE:APLAPOLLO,841.25,850.65,-1.11
NSE:APARINDS,707,696.2,1.55
NSE:APOLLOTYRE,241.45,239.8,0.69
NSE:APCOTEXIND,421.55,419.3,0.54
NSE:APOLLOHOSP,4387.8,4328.4,1.37
NSE:BUTTERFLY,996,993.85,0.22
NSE:GUJAPOLLO,213,212.95,0.02
NSE:ARSHIYA,35.45,38.25,-7.32
NSE:ARSSINFRA,30.8,30.45,1.15
NSE:ARIHANT,26.1,26.2,-0.38
NSE:ARCHIES,18.5,18.6,-0.54
NSE:ARCHIDPLY,32.95,32.95,0
NSE:AROGRANITE,63.8,63.7,0.16
NSE:INTELLECT,714.9,706.3,1.22
NSE:ARCOTECH,2.2,2.2,0
NSE:ARVIND,122.05,120.4,1.37
NSE:MUKTAARTS,40.45,40.6,-0.37
NSE:GILLANDERS,56.45,58.1,-2.84
NSE:ASIANPAINT,3253.75,3297.8,-1.34
NSE:ASTEC,1295.5,1284.7,0.84
NSE:ASAL,90.05,85.8,4.95
NSE:EIHAHOTELS,424,425.05,-0.25
NSE:ASIANHOTNR,90.25,89.45,0.89
NSE:ASHAPURMIN,122.7,124.15,-1.17
NSE:ASTRAMICRO,209.95,206.6,1.62
NSE:ASTRAZEN,3125.55,3150.95,-0.81
NSE:ASTRAL,2349.75,2338.3,0.49
NSE:JPASSOCIAT,10.1,9.8,3.06
NSE:INFRABEES,552.83,547.1,1.05
NSE:ASAHISONG,351,349.3,0.49
NSE:ASHIANA,186.4,189.65,-1.71
NSE:ASHIMASYN,19.6,19.55,0.26
NSE:ASIANTILES,151.5,149.95,1.03
NSE:ASAHIINDIA,387.05,370.75,4.4
NSE:ASHOKA,120.3,116.95,2.86
NSE:ATUL,10734.45,10499.55,2.24
NSE:ATLASCYCLE,28.85,30.35,-4.94
NSE:ATNINTER,0.2,0.2,0
NSE:ATULAUTO,241.4,237.45,1.66
NSE:ATLANTA,13.6,13.35,1.87
NSE:BAJAJ-AUTO,3928.05,3965.9,-0.95
NSE:MUNJALAU,61.25,60.5,1.24
NSE:AUTOLITIND,15.5,14.95,3.68
NSE:PPAP,261.95,261.2,0.29
NSE:LUMAXTECH,143.7,144.6,-0.62
NSE:INDIGO,2064,2073.2,-0.44
NSE:AVTNPL,90.15,89.85,0.33
NSE:AVANTIFEED,569.35,570.2,-0.15
NSE:AXISBANK,805.5,802.05,0.43
NSE:AXISCADES,91.95,90.75,1.32
NSE:AXISGOLD,41.04,41.45,-0.99
NSE:AUTOAXLES,1375,1349.9,1.86
NSE:AYMSYNTEX,110.6,108.65,1.79
NSE:ICICIBANK,743.55,727.3,2.23
NSE:CANBK,197,193.55,1.78
NSE:BALLARPUR,1.25,1.2,4.17
NSE:INDIANB,172.9,164.5,5.11
NSE:HDFCBANK,1685.35,1687.4,-0.12
